id;Magasin;Code communication;Référence commande;Référence commande externe;Référence pré commande;Configuration commande externe;Date commande;Date livraison;Date validation;Date de début de validation;Date de fin de validation;Statut;Créée par;Validée par;Fournisseur;Nom;Prénom;Titre;Adresse 1;Adresse 2;Adresse 3;Code postal;Ville;Pays;Téléphone 1;Téléphone 2;Fax;Email;Entreprise;Numéro T.V.A. intra.;A.P.E.;SIRET;SIREN;Historique;Type commande;is_direct;is_external
5125b472-f23f-43d9-a487-8f512d2457e0;292;;19351234;CMD LD TRAITEUR;;;14/11/2025 18:19:05;05/11/2025;05/11/2025 18:32:10;;;en attente de livraison;ben.kouame;ben.kouame;DO EAT;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
65df3f04-614a-441a-853e-2b8772385ad3;292;;30212294;LD CMD EPICERIE;;;14/11/2025 13:15:55;14/11/2025;14/11/2025 13:19:16;;;en attente de livraison;r.klossran;r.klossran;INITIATIVES-BIO INTERNATIONAL;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
e2330533-5d8e-478a-bc98-62a8ace570ee;292;;15369107;;;;14/11/2025 12:37:24;15/11/2025;14/11/2025 12:38:42;;;en attente de livraison;r.klossran;r.klossran;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
5f8ccb59-e842-484a-a7a0-19b25f45f836;292;;23372431;CMD CENTRALE F& L;;;14/11/2025 11:34:41;15/11/2025;14/11/2025 11:58:19;;;en attente de livraison;fo.dago;fo.dago;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
ad0d1206-91ab-4bcd-a210-f9e07db90c13;292;;10124616;LD CMD EPICERIE;;;14/11/2025 11:09:29;14/11/2025;14/11/2025 11:10:55;;;en attente de livraison;km.koffi;km.koffi;ADDICT FOOD SERVICE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
35bb001d-31b3-42d8-a280-0d321bb8a0a8;292;;18162750;LC CREMERIE;;;14/11/2025 11:08:37;15/11/2025;14/11/2025 11:26:43;;;en attente de livraison;r.klossran;r.klossran;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
59d58cea-66c4-4143-a4fb-2908b82e6896;292;;14383122;LC CMD PATISSERIE;;;14/11/2025 11:01:09;15/11/2025;14/11/2025 11:05:02;;;en attente de livraison;s.meledje;s.meledje;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
fbd30893-ad01-4216-85e5-42d4b8403232;292;;11468539;LC CMD LIQUIDE 292;;;14/11/2025 10:02:00;15/11/2025;14/11/2025 10:04:56;;;en attente de livraison;km.koffi;km.koffi;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
2ff52a74-84d2-45e5-9b0d-6acf23d46edf;292;;28121610;LC CMD LIQUIDE 292;;;14/11/2025 09:51:41;15/11/2025;14/11/2025 09:53:31;;;en attente de livraison;km.koffi;km.koffi;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
0f0c83c9-02be-4298-a84c-cf166497a872;292;;81951799;LC CMD LIQUIDE 292;;;14/11/2025 09:30:56;15/11/2025;14/11/2025 09:44:39;;;en attente de livraison;km.koffi;km.koffi;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
b6e83e14-4e8b-473e-b7d9-1296d7c9af28;292;;28148808;CMDE LIQUIDE CENTRALE 105;;;14/11/2025 08:27:45;15/11/2025;14/11/2025 08:43:51;;;en attente de livraison;bh.sei;bh.sei;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
e4fa97ab-8d5b-478e-8e38-5a281fde2394;292;;40913245;LD CMD EPICERIE;;;14/11/2025 07:16:14;14/11/2025;14/11/2025 07:23:09;;;en attente de livraison;km.koffi;km.koffi;EVEREST SARL;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
c37c92fe-1f55-40c1-9bf8-6648188e7757;292;;22772111;LC CMD EPICERIE;;;14/11/2025 07:10:58;15/11/2025;14/11/2025 07:16:25;;;en attente de livraison;km.koffi;km.koffi;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
03807cf6-8b04-4228-8ef4-01f727909d20;292;;98793713;LC CMD FRUITS ET LEGUMES;;;13/11/2025 12:52:24;14/11/2025;13/11/2025 12:55:14;;;en attente de livraison;km.koffi;km.koffi;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
1598e8bc-1920-4900-b7f0-bc1d830b9b0b;292;;48803867;LC CMDE EPICERIE;;;13/11/2025 12:31:30;14/11/2025;13/11/2025 12:33:15;;;en attente de livraison;km.koffi;km.koffi;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
81002888-2142-47b5-bf2f-d172ddc5fae6;292;;23148255;;;;13/11/2025 11:45:48;14/11/2025;13/11/2025 11:55:43;;;en attente de livraison;eo.kpali;eo.kpali;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
8efa9714-0719-4e65-9296-81b7cce71f50;292;;98505082;LC0CMD FRUITS ET LEGUMES;;;13/11/2025 11:43:16;14/11/2025;13/11/2025 12:16:02;;;en attente de livraison;km.koffi;km.koffi;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
5a246975-24dd-4549-af50-14616f2ee917;292;;33950755;CMDE LIQUIDE CENTRALE;;;13/11/2025 11:13:28;14/11/2025;13/11/2025 11:46:03;;;en attente de livraison;eo.kpali;eo.kpali;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
13a17c7d-787e-417f-baeb-f7c6196e9b11;292;;22394714;;;;13/11/2025 11:13:01;14/11/2025;13/11/2025 11:20:22;;;en attente de livraison;km.koffi;km.koffi;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
a728f030-1c65-4c5e-b97f-a683460b91e9;292;;26758739;LC CMDE EPICERIE;;;13/11/2025 09:55:46;14/11/2025;13/11/2025 10:44:38;;;en attente de livraison;km.koffi;km.koffi;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
f9437de9-8f73-43d8-b4e5-72f954d56842;292;;20350242;centrale;;;13/11/2025 09:29:32;14/11/2025;13/11/2025 09:31:10;;;en attente de livraison;km.koffi;km.koffi;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
f916f677-5e71-4266-82c0-13e67bf5f0bd;292;;26667641;CMD CENTRALE DPH;;;13/11/2025 09:17:11;14/11/2025;13/11/2025 09:21:44;;;en attente de livraison;d.amonkou;d.amonkou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
125a8b70-c3a5-47c2-a001-dd3334c6ee19;292;;12972136;LD CMDE EPICERIE;;;13/11/2025 07:09:17;13/11/2025;13/11/2025 07:14:16;;;en attente de livraison;ke.nzi;ke.nzi;EUROLAIT S.A;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
b64a0a45-a479-4d8d-a243-3cae260c3263;292;;79692619;LC CMD EPICERIE;;;13/11/2025 05:38:02;14/11/2025;13/11/2025 05:51:22;;;en attente de livraison;d.amonkou;d.amonkou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
7075c623-d0e3-4e3f-bd36-0d01353de831;292;;32551845;LC CMD EPICERIE;;;13/11/2025 05:22:09;14/11/2025;13/11/2025 05:37:37;;;en attente de livraison;d.amonkou;d.amonkou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
d0eefc9a-ec4b-4b97-b47a-0e6cfe284bc5;292;;55310144;LC CMD EPICERIE;;;13/11/2025 04:27:29;14/11/2025;13/11/2025 07:07:46;;;en attente de livraison;ke.nzi;ke.nzi;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
b8476ed7-65d1-4e6e-a2cd-189c650504dd;292;;15955009;LC CMD EPICERIE;;;13/11/2025 03:06:39;14/11/2025;13/11/2025 05:54:03;;;en attente de livraison;ke.nzi;d.amonkou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
3fff8469-fdd4-4003-8e18-3033d1f1c0d2;292;;28656027;LC CMD EPICERIE;;;13/11/2025 02:08:49;14/11/2025;13/11/2025 05:54:51;;;en attente de livraison;ke.nzi;d.amonkou;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;;AUTRE;NON;NON
