id;Magasin;Code communication;Référence commande;Référence commande externe;Référence pré commande;Configuration commande externe;Date commande;Date livraison;Date validation;Date de début de validation;Date de fin de validation;Statut;Créée par;Validée par;Fournisseur;Nom;Prénom;Titre;Adresse 1;Adresse 2;Adresse 3;Code postal;Ville;Pays;Téléphone 1;Téléphone 2;Fax;Email;Entreprise;Numéro T.V.A. intra.;A.P.E.;SIRET;SIREN;Historique
b9c16c54-e972-4eef-9a35-6e805ffe5fca;416;;44169661;CMD CENTRALE FRAIS GENERAUX;;;11/11/2025 13:59:29;12/11/2025;11/11/2025 14:34:16;;;en attente de livraison;MANGUESSAN;MANGUESSAN;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
1ed57d11-5fad-41e0-b477-9310a54394e6;416;;14523316;CMD FRAIS GENERAUX;;;11/11/2025 13:47:53;12/11/2025;11/11/2025 13:54:02;;;en attente de livraison;MANGUESSAN;MANGUESSAN;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
f010f368-0a92-4a18-8ca7-7f701fe8264c;416;;42376836;CMD CENTRALE BAZAR;;;11/11/2025 13:38:21;11/11/2025;11/11/2025 13:47:40;;;en attente de livraison;MANGUESSAN;MANGUESSAN;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
0a808329-c40c-4f54-a7b4-e9b1efc06a7e;416;;18766857;CMD LC LIQUIDE;;;11/11/2025 13:21:52;12/11/2025;11/11/2025 13:35:38;;;en attente de livraison;YGKILET;YGKILET;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
86a0733d-fa41-4863-9a9f-48d4f421ae63;416;;59146366;CMD CENTRALE FRUITS ET LEG;;;11/11/2025 13:05:42;12/11/2025;11/11/2025 13:15:40;;;en attente de livraison;MANGUESSAN;MANGUESSAN;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
f03d20b6-b7a3-44ee-ad13-1f06019d2b09;416;;29118774;CMD LC LIQUIDE EAU;;;11/11/2025 12:25:36;12/11/2025;11/11/2025 12:38:25;;;en attente de livraison;AAGKOGUIO;AAGKOGUIO;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
fcfc4825-1a67-46d1-a183-7cef2f60d50b;416;;13327960;CMD LC EPICERIE SALEE DU 11/11/2025;;;11/11/2025 10:25:45;12/11/2025;11/11/2025 13:30:32;;;en attente de livraison;AAGKOGUIO;MANGUESSAN;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
39fab07e-a5dd-48bd-928e-0cfb190f53b9;416;;29545011;CMD LC EPICERIE OUVERTURE MAG;;;11/11/2025 10:18:46;12/11/2025;11/11/2025 10:25:48;;;en attente de livraison;AAGKOGUIO;AAGKOGUIO;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
14fcd6b2-5dda-46ed-8a64-28795cf49665;416;;35505483;CMD LC OUVERTURE MAG;;;11/11/2025 10:16:10;12/11/2025;11/11/2025 10:26:01;;;en attente de livraison;AAGKOGUIO;AAGKOGUIO;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
d22568e9-d65b-492c-9bd4-7c8b8ce60605;416;;87351018;CMD LC FRAIS DU 12/11/2025;;;11/11/2025 09:09:12;12/11/2025;11/11/2025 10:14:42;;;en attente de livraison;AAGKOGUIO;ACOULIBALY;FOURNISSEUR CENTRALE;;;;;;;;;;;;;;;;;;;
